CLASS_CULT;CLASS_NAME;TYPESOIL;ppf;rkru;rksol;base;tseuil0;xt0;tjdc;tjfc;tm;tfmat;taux;rkcm;rlaimax;rmg;hi;coefas0;cwx;alpha1;alpha2;gama;dens;densopt;rlcrit;xl1;pourc;jsem;jrecol;rscx;gge;itest;th_w;dosap;dosem;jdir;jfir;quota;selini;ssel;csel;ciw;css;f1;f2;f3
1;ESTIVES AND MOORS;LIMON;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;ESTIVES AND MOORS;ARGILE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;ESTIVES AND MOORS;SABLE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;FORAGE;LIMON;0.12;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
2;FORAGE;ARGILE;0.12;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
2;FORAGE;SABLE;0.07;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
3;GRAIN CORN;LIMON;0.12;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
3;GRAIN CORN;ARGILE;0.12;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
3;GRAIN CORN;SABLE;0.07;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
4;MEADOW;LIMON;0.12;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
4;MEADOW;ARGILE;0.12;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
4;MEADOW;SABLE;0.07;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
5;ORCHADS;LIMON;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;ORCHADS;ARGILE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;ORCHADS;SABLE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;SPRING CEREAL;LIMON;0.12;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
6;SPRING CEREAL;ARGILE;0.12;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
6;SPRING CEREAL;SABLE;0.07;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
7;FALLOW LAND AND OTHERS;LIMON;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;FALLOW LAND AND OTHERS;ARGILE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;FALLOW LAND AND OTHERS;SABLE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;WINTER CEREAL;LIMON;0.12;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
8;WINTER CEREAL;ARGILE;0.12;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
8;WINTER CEREAL;SABLE;0.07;0.6;0.3;0;450;100;900;2100;1700;2400;0.01;1.2;6;1;0.5;1.25;1.25;2;2;6;400;400;3;0.1;15;1;364;0;0;0;100;0;0;198;365;10000;0;0;0;0;0;0;0;0
