"","idExpl","mean_askActCounter","mean_floodActCounter","mean_floodDRActCounter"
"1",2,3.86904761904762,5.95238095238095,1.19047619047619
"2",3,1.55895691609977,3.65646258503401,0.368480725623583
"3",5,4.76190476190476,2.67857142857143,0.595238095238095
"4",6,2.38095238095238,1.33928571428571,0.297619047619048
"5",7,2.80612244897959,2.29591836734694,0.510204081632653
"6",10,0,5.95238095238095,1.19047619047619
"7",11,1.61064425770308,6.40756302521008,0.665266106442577
"8",12,1.46103896103896,5.8982683982684,0.757575757575758
"9",14,4.26587301587302,3.67063492063492,0.694444444444444
"10",16,2.27272727272727,3.51731601731602,0.649350649350649
