"","idExpl","mean_askAffCounter","mean_floodAffCounter","mean_floodDRAffCounter"
"1",2,25.5952380952381,41.0714285714286,7.14285714285714
"2",3,14.2006802721088,23.469387755102,4.08163265306122
"3",5,16.9642857142857,20.5357142857143,3.57142857142857
"4",6,12.797619047619,10.2678571428571,1.78571428571429
"5",7,13.4353741496599,17.6020408163265,3.06122448979592
"6",10,4.16666666666667,41.0714285714286,7.14285714285714
"7",11,19.7128851540616,41.0714285714286,7.14285714285714
"8",12,11.6883116883117,37.3376623376623,6.49350649350649
"9",14,17.1626984126984,27.3809523809524,4.76190476190476
"10",16,15.8549783549784,26.1363636363636,4.54545454545454
